,Actual Value,RF,GB,ST
5099,333.3300000000001,163.83329316694895,233.65049780268373,248.3755437053868
6381,208.33000000000004,82.97743552036292,192.83574371673865,215.16206025625132
3085,34.75999999999999,63.873277009730316,42.49508476323107,44.250332742705524
2020,74.61,64.54246663552455,66.23790032471928,67.0383933075395
2516,52.00000000000001,68.00190362273577,42.587869169473386,45.03979091829698
1357,183.7800000000001,174.86703792256236,204.82376776967104,200.65591362454308
2574,359.99999999999983,236.3239023174331,340.6407029257136,342.305528694806
1038,162.5,165.56015911570134,162.5308475174002,164.19273465584996
4100,237.50000000000006,195.05144153554326,229.9380125415717,226.4031028103523
5037,139.46999999999997,166.72816229245106,155.28340299906552,151.23661391175017
1882,44.120000000000005,61.685010603429426,50.12418842015275,49.94369892005294
1393,65.38,177.47882923299144,114.5961183938776,112.9245190164127
2683,144.74000000000004,154.02212911199533,104.15424441801112,105.15800244162679
1807,42.02000000000001,55.83172960697226,46.73810172742966,46.4322836821017
2803,180.00000000000006,159.0269700952928,140.4866254851194,147.05369599690076
5487,274.9999999999999,228.36544168312403,333.24546590089733,344.16348654740125
5857,174.99999999999991,178.11708894277513,190.06900913647397,184.47918307775694
5289,126.98,200.57904201921832,213.94045057150586,224.33198738021963
1244,40.21000000000001,63.90111853582553,58.17701477399949,58.10064382397529
3131,156.75999999999996,134.99457672760326,135.9388660992573,127.8013883003612
3881,89.74,69.93287106095013,77.21938325227646,80.40369583506516
2781,31.0,81.20160955202553,55.212971694346685,52.491584706938816
1498,228.57000000000008,183.79727336140647,187.4711650055837,191.3589217964958
1433,385.7100000000001,224.1374956941901,341.2026890099764,354.5493091896953
2045,304.3499999999999,217.21561987014982,309.19866193570226,305.5632593189902
538,100.62000000000002,84.3549710380235,99.76896828612757,96.42660513743684
88,233.33000000000004,219.26301919127977,220.8473238656095,218.53413703581933
3879,70.64000000000001,72.221158145167,77.77577929016694,76.89459235983338
3113,42.86,142.45793672097832,200.36704490717096,208.00820332673422
4205,150.0,173.94330333186386,166.19958897408173,168.72336394320925
2254,123.33000000000004,92.7867145632547,134.3591409701101,140.61448122115578
156,253.33,142.76827030435769,150.41563292063822,152.27380781290677
4747,57.14000000000001,64.1678297338782,65.02576605383503,65.20943278990947
491,212.50000000000003,164.17727729303024,210.65519036154532,201.88008792888266
1978,158.67000000000002,155.9328389628608,171.19120912626693,170.1311430087268
1963,291.89,175.2653102405557,160.70957910040934,163.34511275725126
2519,64.60000000000002,87.20532363000892,78.80463009434348,76.62741585916145
198,106.67000000000003,167.61374731359402,151.34276882098277,141.4380363747731
2663,79.91,67.63203746210664,73.37362059534271,74.73386242453186
2157,254.41,205.59164533962516,221.5076073826101,218.00749214730823
6403,86.75000000000003,69.39905556147865,72.94457389924979,75.23671052508767
6245,227.58999999999995,188.5437098810157,240.19725331225618,253.63763846484494
3289,69.44000000000003,68.06842162798746,73.47812137264978,76.48225963313561
4760,103.34000000000002,69.4264407686417,71.1970264429696,69.64964227773243
6338,66.42999999999999,64.09068529500937,63.343421959593584,64.45981967447688
3618,19.5,45.15732255583744,21.536820346216803,19.40999570436452
3408,233.00000000000006,171.65747697347953,175.64591917789582,175.16228182100667
2778,53.63999999999999,74.44614172768394,63.51118343382049,56.48561326280139
2245,272.00999999999993,174.5655165321425,178.0112665158324,165.19204975652835
468,182.14000000000001,173.6126664906539,196.8231968789552,195.56279378620516
1656,194.57,189.22013973585283,204.07744006385894,193.443290278806
1514,116.67,184.92320583220987,150.76942654627385,158.75207623681288
1410,145.0,67.46316270250657,86.67259433539456,86.45563218456392
4326,107.95,67.59763035175244,71.52083433941044,73.4016412502002
2627,291.9700000000001,153.31777835270603,192.5954907094185,206.35208698307062
1926,59.29000000000001,64.41819467961787,56.58187197657671,55.46684846493612
6165,174.99999999999991,189.35695033969415,187.82638228473692,185.5815955803944
5806,66.67000000000003,69.31179529842258,68.60734723572847,68.49988691044966
811,119.67000000000004,173.1511911943799,166.65126877904353,168.2374942312219
1149,89.99999999999997,89.21771266225565,92.45073316831912,98.6104782178991
1340,246.00000000000006,166.78241311634426,217.34604882298737,208.47171193023757
1870,119.66000000000001,140.09555028901232,143.32652170307983,139.27174512718074
706,90.82000000000002,70.41235559985276,72.00785576961984,72.78786929059397
805,229.99999999999994,175.59324562206808,223.5047181629125,244.2054605884238
6272,80.53999999999998,68.10871070047216,66.44150816701521,63.258108323151134
5046,75.39999999999999,67.19908553444237,71.34701589569784,71.93849330671436
2225,200.0,182.6291914969725,198.40207839049077,199.8289426847879
2916,75.0,67.33970672683765,66.53383224885674,67.17219106710318
1543,60.28999999999999,62.50382814770847,59.235121028628264,58.91030681219763
2515,194.99999999999991,119.84156181893536,212.86915802984382,230.35085712501285
208,320.0,215.20398562014122,277.350173710777,269.2218388676102
2921,201.32000000000002,109.76204123963392,202.06285901732514,235.2899571226451
5840,68.61000000000001,64.51982600544483,63.37823021456653,63.74332696463749
756,408.8899999999999,214.3903771904539,254.8176431957887,260.56773030612163
5981,165.84999999999994,195.64910221348714,183.42066733279682,172.12001792200348
3386,148.64999999999995,161.82408469079817,126.34368095903616,129.62465954420261
6193,61.43000000000002,66.09547500343905,68.45797608636407,67.68152892205072
1421,137.5,157.87861913252863,149.1275485366059,144.7146435562819
